17,21,2,2
16,21,1,0.5
14,21,2,0.5
12,21,2,0.5
9,21,3,0.5
8,21,1,0.5
17,20,1,0.5
17,19,1,0.5
17,18,1,0.5
16,18,1,0.5
15,18,1,0.5
14,18,1,0.5
13,18,1,0.5
12,18,1,0.5
11,18,1,0.5
10,18,1,0.5
9,18,1,0.5
8,18,1,0.5
8,19,1,0.5
8,20,1,0.5
7,21,1,0.5
6,21,1,0.5
5,21,1,0.5
4,21,1,0.5
3,21,1,0.5
2,21,1,0.5
1,21,1,0.5
0,21,1,0.5
0,20,1,0.5
0,19,1,0.5
0,18,1,0.5
0,17,1,0.5
0,16,1,0.5
0,15,1,0.5
0,14,1,0.5
0,13,1,0.5
0,12,1,0.5
0,11,1,0.5
0,10,1,0.5
1,10,2,0.5
3,10,1,0.5
3,9,1,0.5
3,7,1,1
4,7,1,0.5
5,7,1,0.5
6,7,1,0.5
7,7,1,0.5
7,8,1,0.5
3,11,1,0.5
3,12,1,0.5
3,13,1,0.5
4,13,1,0.5
5,13,1,0.5
6,13,1,0.5
7,13,1,0.5
7,11,1,1
7,9,1,1
8,8,1,0.5
9,8,1,0.5
9,9,1,0.5
9,10,1,0.5
9,11,1,0.5
9,12,1,0.5
9,13,1,0.5
9,14,1,0.5
9,15,1,0.5
10,15,1,0.5
11,15,1,0.5
11,14,1,0.5
11,13,1,0.5
11,12,1,0.5
11,11,1,0.5
11,10,1,0.5
12,10,1,0.5
13,10,1,0.5
14,10,1,0.5
15,10,2,0.5
17,9,1,1
12,13,1,0.5
13,13,1,0.5
14,13,1,0.5
15,13,1,0.5
16,13,1,0.5
17,13,1,0.5
17,12,1,0.5
17,11,1,0.5
17,8,1,0.5
16,8,1,0.5
15,8,1,0.5
14,8,1,0.5
13,8,1,0.5
12,8,1,0.5
11,8,1,0.5
11,7,1,0.5
11,6,1,0.5
11,5,1,0.5
12,5,1,0.5
13,5,1,0.5
14,5,1,0.5
15,5,1,0.5
16,5,1,0.5
17,5,1,0.5
17,4,1,0.5
17,3,1,0.5
17,2,1,0.5
16,2,1,0.5
15,2,1,0.5
14,2,1,0.5
14,1,1,0.5
14,0,1,0.5
13,0,1,0.5
12,0,1,0.5
12,1,1,0.5
12,2,1,0.5
11,2,1,0.5
10,2,1,0.5
10,1,1,0.5
10,0,1,0.5
10,-1,1,0.5
10,-2,1,0.5
10,-3,1,0.5
10,-4,1,0.5
11,-4,1,0.5
12,-4,1,0.5
13,-4,1,0.5
14,-4,1,0.5
15,-6,2,5
